Age,Player_ID,Field_Goal_Percentage,Free_Throw_Percentage,Total_Rebounds,Assists,Steals,Block_Shots,Points,Salary,Season,Team
21-252,jordami01,0.313,0.857,6,7,2,4,16,550000,1984-85,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,630000,1985-86,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,845000,1987-88,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,2000000,1988-89,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,2500000,1989-90,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,2500000,1990-91,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,3250000,1991-92,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,4000000,1992-93,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,4000000,1993-94,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,3850000,1994-95,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,3850000,1995-96,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,30140000,1996-97,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,33140000,1997-98,Chicago Bulls
21-252,jordami01,0.313,0.857,6,7,2,4,16,1000000,2001-02,Washington Wizards
21-252,jordami01,0.313,0.857,6,7,2,4,16,1030000,2002-03,Washington Wizards
21-253,jordami01,0.615,1,5,5,2,1,21,550000,1984-85,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,630000,1985-86,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,845000,1987-88,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,2000000,1988-89,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,2500000,1989-90,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,2500000,1990-91,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,3250000,1991-92,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,4000000,1992-93,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,4000000,1993-94,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,3850000,1994-95,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,3850000,1995-96,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,30140000,1996-97,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,33140000,1997-98,Chicago Bulls
21-253,jordami01,0.615,1,5,5,2,1,21,1000000,2001-02,Washington Wizards
21-253,jordami01,0.615,1,5,5,2,1,21,1030000,2002-03,Washington Wizards
21-255,jordami01,0.542,0.846,4,5,6,2,37,550000,1984-85,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,630000,1985-86,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,845000,1987-88,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,2000000,1988-89,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,2500000,1989-90,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,2500000,1990-91,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,3250000,1991-92,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,4000000,1992-93,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,4000000,1993-94,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,3850000,1994-95,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,3850000,1995-96,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,30140000,1996-97,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,33140000,1997-98,Chicago Bulls
21-255,jordami01,0.542,0.846,4,5,6,2,37,1000000,2001-02,Washington Wizards
21-255,jordami01,0.542,0.846,4,5,6,2,37,1030000,2002-03,Washington Wizards
21-256,jordami01,0.381,1,4,5,3,1,25,550000,1984-85,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,630000,1985-86,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,845000,1987-88,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,2000000,1988-89,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,2500000,1989-90,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,2500000,1990-91,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,3250000,1991-92,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,4000000,1992-93,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,4000000,1993-94,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,3850000,1994-95,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,3850000,1995-96,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,30140000,1996-97,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,33140000,1997-98,Chicago Bulls
21-256,jordami01,0.381,1,4,5,3,1,25,1000000,2001-02,Washington Wizards
21-256,jordami01,0.381,1,4,5,3,1,25,1030000,2002-03,Washington Wizards
21-258,jordami01,0.467,0.75,5,5,1,1,17,550000,1984-85,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,630000,1985-86,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,845000,1987-88,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,2000000,1988-89,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,2500000,1989-90,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,2500000,1990-91,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,3250000,1991-92,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,4000000,1992-93,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,4000000,1993-94,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,3850000,1994-95,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,3850000,1995-96,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,30140000,1996-97,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,33140000,1997-98,Chicago Bulls
21-258,jordami01,0.467,0.75,5,5,1,1,17,1000000,2001-02,Washington Wizards
21-258,jordami01,0.467,0.75,5,5,1,1,17,1030000,2002-03,Washington Wizards
21-264,jordami01,0.474,0.778,4,3,3,1,25,550000,1984-85,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,630000,1985-86,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,845000,1987-88,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,2000000,1988-89,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,2500000,1989-90,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,2500000,1990-91,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,3250000,1991-92,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,4000000,1992-93,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,4000000,1993-94,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,3850000,1994-95,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,3850000,1995-96,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,30140000,1996-97,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,33140000,1997-98,Chicago Bulls
21-264,jordami01,0.474,0.778,4,3,3,1,25,1000000,2001-02,Washington Wizards
21-264,jordami01,0.474,0.778,4,3,3,1,25,1030000,2002-03,Washington Wizards
21-265,jordami01,0.682,0.75,8,5,3,2,33,550000,1984-85,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,630000,1985-86,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,845000,1987-88,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,2000000,1988-89,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,2500000,1989-90,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,2500000,1990-91,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,3250000,1991-92,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,4000000,1992-93,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,4000000,1993-94,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,3850000,1994-95,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,3850000,1995-96,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,30140000,1996-97,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,33140000,1997-98,Chicago Bulls
21-265,jordami01,0.682,0.75,8,5,3,2,33,1000000,2001-02,Washington Wizards
21-265,jordami01,0.682,0.75,8,5,3,2,33,1030000,2002-03,Washington Wizards
21-267,jordami01,0.409,0.75,9,4,2,5,27,550000,1984-85,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,630000,1985-86,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,845000,1987-88,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,2000000,1988-89,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,2500000,1989-90,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,2500000,1990-91,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,3250000,1991-92,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,4000000,1992-93,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,4000000,1993-94,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,3850000,1994-95,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,3850000,1995-96,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,30140000,1996-97,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,33140000,1997-98,Chicago Bulls
21-267,jordami01,0.409,0.75,9,4,2,5,27,1000000,2001-02,Washington Wizards
21-267,jordami01,0.409,0.75,9,4,2,5,27,1030000,2002-03,Washington Wizards
21-270,jordami01,0.667,0.727,10,4,3,2,45,550000,1984-85,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,630000,1985-86,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,845000,1987-88,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,2000000,1988-89,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,2500000,1989-90,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,2500000,1990-91,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,3250000,1991-92,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,4000000,1992-93,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,4000000,1993-94,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,3850000,1994-95,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,3850000,1995-96,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,30140000,1996-97,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,33140000,1997-98,Chicago Bulls
21-270,jordami01,0.667,0.727,10,4,3,2,45,1000000,2001-02,Washington Wizards
21-270,jordami01,0.667,0.727,10,4,3,2,45,1030000,2002-03,Washington Wizards
21-272,jordami01,0.5,1,2,2,2,1,27,550000,1984-85,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,630000,1985-86,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,845000,1987-88,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,2000000,1988-89,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,2500000,1989-90,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,2500000,1990-91,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,3250000,1991-92,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,4000000,1992-93,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,4000000,1993-94,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,3850000,1994-95,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,3850000,1995-96,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,30140000,1996-97,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,33140000,1997-98,Chicago Bulls
21-272,jordami01,0.5,1,2,2,2,1,27,1000000,2001-02,Washington Wizards
21-272,jordami01,0.5,1,2,2,2,1,27,1030000,2002-03,Washington Wizards
21-274,jordami01,0.235,1,5,7,5,2,16,550000,1984-85,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,630000,1985-86,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,845000,1987-88,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,2000000,1988-89,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,2500000,1989-90,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,2500000,1990-91,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,3250000,1991-92,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,4000000,1992-93,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,4000000,1993-94,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,3850000,1994-95,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,3850000,1995-96,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,30140000,1996-97,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,33140000,1997-98,Chicago Bulls
21-274,jordami01,0.235,1,5,7,5,2,16,1000000,2001-02,Washington Wizards
21-274,jordami01,0.235,1,5,7,5,2,16,1030000,2002-03,Washington Wizards
21-276,jordami01,0.423,0.75,5,2,2,1,34,550000,1984-85,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,630000,1985-86,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,845000,1987-88,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,2000000,1988-89,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,2500000,1989-90,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,2500000,1990-91,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,3250000,1991-92,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,4000000,1992-93,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,4000000,1993-94,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,3850000,1994-95,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,3850000,1995-96,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,30140000,1996-97,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,33140000,1997-98,Chicago Bulls
21-276,jordami01,0.423,0.75,5,2,2,1,34,1000000,2001-02,Washington Wizards
21-276,jordami01,0.423,0.75,5,2,2,1,34,1030000,2002-03,Washington Wizards
21-278,jordami01,0.5,0.929,13,2,2,2,35,550000,1984-85,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,630000,1985-86,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,845000,1987-88,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,2000000,1988-89,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,2500000,1989-90,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,2500000,1990-91,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,3250000,1991-92,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,4000000,1992-93,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,4000000,1993-94,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,3850000,1994-95,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,3850000,1995-96,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,30140000,1996-97,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,33140000,1997-98,Chicago Bulls
21-278,jordami01,0.5,0.929,13,2,2,2,35,1000000,2001-02,Washington Wizards
21-278,jordami01,0.5,0.929,13,2,2,2,35,1030000,2002-03,Washington Wizards
21-280,jordami01,0.692,0.833,4,3,4,1,23,550000,1984-85,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,630000,1985-86,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,845000,1987-88,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,2000000,1988-89,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,2500000,1989-90,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,2500000,1990-91,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,3250000,1991-92,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,4000000,1992-93,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,4000000,1993-94,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,3850000,1994-95,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,3850000,1995-96,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,30140000,1996-97,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,33140000,1997-98,Chicago Bulls
21-280,jordami01,0.692,0.833,4,3,4,1,23,1000000,2001-02,Washington Wizards
21-280,jordami01,0.692,0.833,4,3,4,1,23,1030000,2002-03,Washington Wizards
21-281,jordami01,0.417,1,6,8,3,1,30,550000,1984-85,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,630000,1985-86,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,845000,1987-88,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,2000000,1988-89,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,2500000,1989-90,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,2500000,1990-91,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,3250000,1991-92,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,4000000,1992-93,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,4000000,1993-94,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,3850000,1994-95,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,3850000,1995-96,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,30140000,1996-97,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,33140000,1997-98,Chicago Bulls
21-281,jordami01,0.417,1,6,8,3,1,30,1000000,2001-02,Washington Wizards
21-281,jordami01,0.417,1,6,8,3,1,30,1030000,2002-03,Washington Wizards
21-284,jordami01,0.6,1,2,3,3,2,13,550000,1984-85,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,630000,1985-86,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,845000,1987-88,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,2000000,1988-89,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,2500000,1989-90,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,2500000,1990-91,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,3250000,1991-92,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,4000000,1992-93,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,4000000,1993-94,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,3850000,1994-95,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,3850000,1995-96,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,30140000,1996-97,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,33140000,1997-98,Chicago Bulls
21-284,jordami01,0.6,1,2,3,3,2,13,1000000,2001-02,Washington Wizards
21-284,jordami01,0.6,1,2,3,3,2,13,1030000,2002-03,Washington Wizards
21-286,jordami01,0.529,0.75,3,2,2,0,22,550000,1984-85,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,630000,1985-86,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,845000,1987-88,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,2000000,1988-89,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,2500000,1989-90,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,2500000,1990-91,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,3250000,1991-92,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,4000000,1992-93,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,4000000,1993-94,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,3850000,1994-95,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,3850000,1995-96,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,30140000,1996-97,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,33140000,1997-98,Chicago Bulls
21-286,jordami01,0.529,0.75,3,2,2,0,22,1000000,2001-02,Washington Wizards
21-286,jordami01,0.529,0.75,3,2,2,0,22,1030000,2002-03,Washington Wizards
21-287,jordami01,0.6,0.5,5,5,3,0,20,550000,1984-85,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,630000,1985-86,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,845000,1987-88,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,2000000,1988-89,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,2500000,1989-90,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,2500000,1990-91,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,3250000,1991-92,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,4000000,1992-93,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,4000000,1993-94,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,3850000,1994-95,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,3850000,1995-96,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,30140000,1996-97,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,33140000,1997-98,Chicago Bulls
21-287,jordami01,0.6,0.5,5,5,3,0,20,1000000,2001-02,Washington Wizards
21-287,jordami01,0.6,0.5,5,5,3,0,20,1030000,2002-03,Washington Wizards
21-289,jordami01,0.538,0.75,2,3,1,1,20,550000,1984-85,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,630000,1985-86,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,845000,1987-88,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,2000000,1988-89,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,2500000,1989-90,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,2500000,1990-91,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,3250000,1991-92,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,4000000,1992-93,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,4000000,1993-94,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,3850000,1994-95,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,3850000,1995-96,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,30140000,1996-97,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,33140000,1997-98,Chicago Bulls
21-289,jordami01,0.538,0.75,2,3,1,1,20,1000000,2001-02,Washington Wizards
21-289,jordami01,0.538,0.75,2,3,1,1,20,1030000,2002-03,Washington Wizards
21-291,jordami01,0.538,1,3,6,1,0,20,550000,1984-85,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,630000,1985-86,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,845000,1987-88,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,2000000,1988-89,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,2500000,1989-90,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,2500000,1990-91,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,3250000,1991-92,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,4000000,1992-93,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,4000000,1993-94,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,3850000,1994-95,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,3850000,1995-96,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,30140000,1996-97,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,33140000,1997-98,Chicago Bulls
21-291,jordami01,0.538,1,3,6,1,0,20,1000000,2001-02,Washington Wizards
21-291,jordami01,0.538,1,3,6,1,0,20,1030000,2002-03,Washington Wizards
21-294,jordami01,0.5,0.714,2,3,2,0,21,550000,1984-85,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,630000,1985-86,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,845000,1987-88,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,2000000,1988-89,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,2500000,1989-90,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,2500000,1990-91,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,3250000,1991-92,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,4000000,1992-93,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,4000000,1993-94,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,3850000,1994-95,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,3850000,1995-96,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,30140000,1996-97,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,33140000,1997-98,Chicago Bulls
21-294,jordami01,0.5,0.714,2,3,2,0,21,1000000,2001-02,Washington Wizards
21-294,jordami01,0.5,0.714,2,3,2,0,21,1030000,2002-03,Washington Wizards
21-295,jordami01,0.435,,7,2,0,2,20,550000,1984-85,Chicago Bulls
